,1,2,3,4,5,6,7,8,9,10,MEDIA
100,82,65,64,84,86,66,108,27,65,30,67.7
1000,156,381,296,328,329,296,328,134,296,295,283.9
10000,2647,2851,1064,2862,1034,2576,1028,3329,3187,1054,2163.2
100000,18927,17676,19584,20750,17769,15592,11059,11037,16456,11676,16052.6
1000000,103225,102810,104053,103032,237004,106425,102919,105889,103588,103210,117215.5
10000000,1044243,1053377,1033995,1035331,1023490,1160116,1028176,1033623,1029801,1573166,1101531.8
